filename,ground_truth_label,model_name,detected_pattern,confidence,adherence,reasoning,raw_response,duration_seconds
DPD-wayback-MementoReplayRendererDecorator.java,decorator,gpt-5,Decorator,98,95,"MementoReplayRendererDecorator extends ReplayRendererDecorator, accepts a ReplayRenderer in its constructor, and augments behavior (sets Memento HTTP headers) before delegating to decorated.renderResource. It preserves the component interface and can be stacked with other decorators. Note: the 'Memento' here refers to the web archiving protocol, not the GoF Memento pattern.","{
  ""design_patterns"": [
    {
      ""pattern"": ""Decorator"",
      ""confidence"": 98,
      ""adherence"": 95,
      ""reason"": ""MementoReplayRendererDecorator extends ReplayRendererDecorator, accepts a ReplayRenderer in its constructor, and augments behavior (sets Memento HTTP headers) before delegating to decorated.renderResource. It preserves the component interface and can be stacked with other decorators. Note: the 'Memento' here refers to the web archiving protocol, not the GoF Memento pattern.""
    }
  ]
}",23.639275
DPD-wayback-MementoReplayRendererDecorator.java,decorator,gemini-3.0-pro,Decorator,100,100,"The class MementoReplayRendererDecorator extends a class named ReplayRendererDecorator and accepts an instance of the component interface (ReplayRenderer) in its constructor. Crucially, inside the 'renderResource' method, it executes custom logic (adding HTTP headers) and then delegates the call to the wrapped object ('decorated.renderResource(...)'). This allows behavior to be added dynamically to the wrapped object, which is the definition of the Decorator pattern. While the class name contains 'Memento', it implements the Memento Web Protocol, not the Memento Design Pattern.","```json
{
	""design_patterns"": [{
		""pattern"": ""Decorator"",
		""confidence"": 100,
		""adherence"": 100,
		""reason"": ""The class MementoReplayRendererDecorator extends a class named ReplayRendererDecorator and accepts an instance of the component interface (ReplayRenderer) in its constructor. Crucially, inside the 'renderResource' method, it executes custom logic (adding HTTP headers) and then delegates the call to the wrapped object ('decorated.renderResource(...)'). This allows behavior to be added dynamically to the wrapped object, which is the definition of the Decorator pattern. While the class name contains 'Memento', it implements the Memento Web Protocol, not the Memento Design Pattern.""
	}]
}
```",26.262334
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gpt-5,Decorator,95,90,"The class wraps a CoreHelper component (passed via constructor), extends an abstract decorator, and delegates to getComponent().setX methods while adding extra behavior (memento creation). It preserves the original interface and composes the component, matching the Decorator intent.","{
  ""design_patterns"": [
    {
      ""pattern"": ""Decorator"",
      ""confidence"": 95,
      ""adherence"": 90,
      ""reason"": ""The class wraps a CoreHelper component (passed via constructor), extends an abstract decorator, and delegates to getComponent().setX methods while adding extra behavior (memento creation). It preserves the original interface and composes the component, matching the Decorator intent.""
    },
    {
      ""pattern"": ""Memento"",
      ""confidence"": 85,
      ""adherence"": 80,
      ""reason"": ""createMemento constructs anonymous ModelMemento objects that capture old/new values and provide undo/redo to restore state without exposing internals. These mementos are handed to a caretaker via Model.notifyMementoCreationObserver, enabling undo history.""
    },
    {
      ""pattern"": ""Command"",
      ""confidence"": 70,
      ""adherence"": 65,
      ""reason"": ""Each ModelMemento encapsulates a reversible action with redo (execute) and undo (unexecute). The BooleanSetter/ObjectSetter/StringSetter interfaces encapsulate the concrete setter invocation, making each change a command-like object with inverse behavior.""
    },
    {
      ""pattern"": ""Observer"",
      ""confidence"": 65,
      ""adherence"": 55,
      ""reason"": ""The call Model.notifyMementoCreationObserver(memento) indicates an observable subject notifying observers about memento creation (publisher-subscriber). Registration and observer classes are not shown here, so only partial evidence is present.""
    },
    {
      ""pattern"": ""Facade"",
      ""confidence"": 55,
      ""adherence"": 45,
      ""reason"": ""The code repeatedly accesses Model.getFacade() to retrieve and interact with model properties through a unified interface, suggesting use of a Facade over a complex subsystem. Only usage is visible in this snippet, not the facade's implementation.""
    }
  ]
}",46.114702
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gpt-5,Memento,85,80,"createMemento constructs anonymous ModelMemento objects that capture old/new values and provide undo/redo to restore state without exposing internals. These mementos are handed to a caretaker via Model.notifyMementoCreationObserver, enabling undo history.","{
  ""design_patterns"": [
    {
      ""pattern"": ""Decorator"",
      ""confidence"": 95,
      ""adherence"": 90,
      ""reason"": ""The class wraps a CoreHelper component (passed via constructor), extends an abstract decorator, and delegates to getComponent().setX methods while adding extra behavior (memento creation). It preserves the original interface and composes the component, matching the Decorator intent.""
    },
    {
      ""pattern"": ""Memento"",
      ""confidence"": 85,
      ""adherence"": 80,
      ""reason"": ""createMemento constructs anonymous ModelMemento objects that capture old/new values and provide undo/redo to restore state without exposing internals. These mementos are handed to a caretaker via Model.notifyMementoCreationObserver, enabling undo history.""
    },
    {
      ""pattern"": ""Command"",
      ""confidence"": 70,
      ""adherence"": 65,
      ""reason"": ""Each ModelMemento encapsulates a reversible action with redo (execute) and undo (unexecute). The BooleanSetter/ObjectSetter/StringSetter interfaces encapsulate the concrete setter invocation, making each change a command-like object with inverse behavior.""
    },
    {
      ""pattern"": ""Observer"",
      ""confidence"": 65,
      ""adherence"": 55,
      ""reason"": ""The call Model.notifyMementoCreationObserver(memento) indicates an observable subject notifying observers about memento creation (publisher-subscriber). Registration and observer classes are not shown here, so only partial evidence is present.""
    },
    {
      ""pattern"": ""Facade"",
      ""confidence"": 55,
      ""adherence"": 45,
      ""reason"": ""The code repeatedly accesses Model.getFacade() to retrieve and interact with model properties through a unified interface, suggesting use of a Facade over a complex subsystem. Only usage is visible in this snippet, not the facade's implementation.""
    }
  ]
}",46.114702
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gpt-5,Command,70,65,"Each ModelMemento encapsulates a reversible action with redo (execute) and undo (unexecute). The BooleanSetter/ObjectSetter/StringSetter interfaces encapsulate the concrete setter invocation, making each change a command-like object with inverse behavior.","{
  ""design_patterns"": [
    {
      ""pattern"": ""Decorator"",
      ""confidence"": 95,
      ""adherence"": 90,
      ""reason"": ""The class wraps a CoreHelper component (passed via constructor), extends an abstract decorator, and delegates to getComponent().setX methods while adding extra behavior (memento creation). It preserves the original interface and composes the component, matching the Decorator intent.""
    },
    {
      ""pattern"": ""Memento"",
      ""confidence"": 85,
      ""adherence"": 80,
      ""reason"": ""createMemento constructs anonymous ModelMemento objects that capture old/new values and provide undo/redo to restore state without exposing internals. These mementos are handed to a caretaker via Model.notifyMementoCreationObserver, enabling undo history.""
    },
    {
      ""pattern"": ""Command"",
      ""confidence"": 70,
      ""adherence"": 65,
      ""reason"": ""Each ModelMemento encapsulates a reversible action with redo (execute) and undo (unexecute). The BooleanSetter/ObjectSetter/StringSetter interfaces encapsulate the concrete setter invocation, making each change a command-like object with inverse behavior.""
    },
    {
      ""pattern"": ""Observer"",
      ""confidence"": 65,
      ""adherence"": 55,
      ""reason"": ""The call Model.notifyMementoCreationObserver(memento) indicates an observable subject notifying observers about memento creation (publisher-subscriber). Registration and observer classes are not shown here, so only partial evidence is present.""
    },
    {
      ""pattern"": ""Facade"",
      ""confidence"": 55,
      ""adherence"": 45,
      ""reason"": ""The code repeatedly accesses Model.getFacade() to retrieve and interact with model properties through a unified interface, suggesting use of a Facade over a complex subsystem. Only usage is visible in this snippet, not the facade's implementation.""
    }
  ]
}",46.114702
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gpt-5,Observer,65,55,"The call Model.notifyMementoCreationObserver(memento) indicates an observable subject notifying observers about memento creation (publisher-subscriber). Registration and observer classes are not shown here, so only partial evidence is present.","{
  ""design_patterns"": [
    {
      ""pattern"": ""Decorator"",
      ""confidence"": 95,
      ""adherence"": 90,
      ""reason"": ""The class wraps a CoreHelper component (passed via constructor), extends an abstract decorator, and delegates to getComponent().setX methods while adding extra behavior (memento creation). It preserves the original interface and composes the component, matching the Decorator intent.""
    },
    {
      ""pattern"": ""Memento"",
      ""confidence"": 85,
      ""adherence"": 80,
      ""reason"": ""createMemento constructs anonymous ModelMemento objects that capture old/new values and provide undo/redo to restore state without exposing internals. These mementos are handed to a caretaker via Model.notifyMementoCreationObserver, enabling undo history.""
    },
    {
      ""pattern"": ""Command"",
      ""confidence"": 70,
      ""adherence"": 65,
      ""reason"": ""Each ModelMemento encapsulates a reversible action with redo (execute) and undo (unexecute). The BooleanSetter/ObjectSetter/StringSetter interfaces encapsulate the concrete setter invocation, making each change a command-like object with inverse behavior.""
    },
    {
      ""pattern"": ""Observer"",
      ""confidence"": 65,
      ""adherence"": 55,
      ""reason"": ""The call Model.notifyMementoCreationObserver(memento) indicates an observable subject notifying observers about memento creation (publisher-subscriber). Registration and observer classes are not shown here, so only partial evidence is present.""
    },
    {
      ""pattern"": ""Facade"",
      ""confidence"": 55,
      ""adherence"": 45,
      ""reason"": ""The code repeatedly accesses Model.getFacade() to retrieve and interact with model properties through a unified interface, suggesting use of a Facade over a complex subsystem. Only usage is visible in this snippet, not the facade's implementation.""
    }
  ]
}",46.114702
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gpt-5,Facade,55,45,"The code repeatedly accesses Model.getFacade() to retrieve and interact with model properties through a unified interface, suggesting use of a Facade over a complex subsystem. Only usage is visible in this snippet, not the facade's implementation.","{
  ""design_patterns"": [
    {
      ""pattern"": ""Decorator"",
      ""confidence"": 95,
      ""adherence"": 90,
      ""reason"": ""The class wraps a CoreHelper component (passed via constructor), extends an abstract decorator, and delegates to getComponent().setX methods while adding extra behavior (memento creation). It preserves the original interface and composes the component, matching the Decorator intent.""
    },
    {
      ""pattern"": ""Memento"",
      ""confidence"": 85,
      ""adherence"": 80,
      ""reason"": ""createMemento constructs anonymous ModelMemento objects that capture old/new values and provide undo/redo to restore state without exposing internals. These mementos are handed to a caretaker via Model.notifyMementoCreationObserver, enabling undo history.""
    },
    {
      ""pattern"": ""Command"",
      ""confidence"": 70,
      ""adherence"": 65,
      ""reason"": ""Each ModelMemento encapsulates a reversible action with redo (execute) and undo (unexecute). The BooleanSetter/ObjectSetter/StringSetter interfaces encapsulate the concrete setter invocation, making each change a command-like object with inverse behavior.""
    },
    {
      ""pattern"": ""Observer"",
      ""confidence"": 65,
      ""adherence"": 55,
      ""reason"": ""The call Model.notifyMementoCreationObserver(memento) indicates an observable subject notifying observers about memento creation (publisher-subscriber). Registration and observer classes are not shown here, so only partial evidence is present.""
    },
    {
      ""pattern"": ""Facade"",
      ""confidence"": 55,
      ""adherence"": 45,
      ""reason"": ""The code repeatedly accesses Model.getFacade() to retrieve and interact with model properties through a unified interface, suggesting use of a Facade over a complex subsystem. Only usage is visible in this snippet, not the facade's implementation.""
    }
  ]
}",46.114702
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gemini-3.0-pro,Decorator,100,100,"The class `UndoCoreHelperDecorator` extends `AbstractCoreHelperDecorator` and wraps a `CoreHelper` component (passed in the constructor). It overrides methods (like `setAbstract`, `setName`) to add specific functionality (creating mementos) before delegating the actual operation to the wrapped object via `getComponent().methodName()`. This is the textbook definition of the Decorator pattern.","```json
{
	""design_patterns"": [{
			""pattern"": ""Decorator"",
			""confidence"": 100,
			""adherence"": 100,
			""reason"": ""The class `UndoCoreHelperDecorator` extends `AbstractCoreHelperDecorator` and wraps a `CoreHelper` component (passed in the constructor). It overrides methods (like `setAbstract`, `setName`) to add specific functionality (creating mementos) before delegating the actual operation to the wrapped object via `getComponent().methodName()`. This is the textbook definition of the Decorator pattern.""
		},
		{
			""pattern"": ""Memento"",
			""confidence"": 100,
			""adherence"": 100,
			""reason"": ""The class contains specific logic to save the state of an object before it is modified. The `createMemento` methods instantiate `ModelMemento` objects that capture the `oldValue` and provide logic to restore the object to that state. This is used to implement the Undo/Redo mechanism.""
		},
		{
			""pattern"": ""Command"",
			""confidence"": 90,
			""adherence"": 90,
			""reason"": ""The `ModelMemento` anonymous inner classes implement `undo()` and `redo()` methods, encapsulating the request to modify the model as an object. Additionally, the internal interfaces `BooleanSetter`, `ObjectSetter`, and `StringSetter` are used to encapsulate the specific action of setting a property into an object, effectively parameterizing the method call to be executed later or within the memento.""
		},
		{
			""pattern"": ""Observer"",
			""confidence"": 95,
			""adherence"": 80,
			""reason"": ""The method call `Model.notifyMementoCreationObserver(memento)` indicates that the system is notifying registered listeners (subscribers) that a memento has been created. While the registration logic isn't shown here, this class acts as the Publisher/Subject trigger in the Observer pattern.""
		}
	]
}
```",30.06216
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gemini-3.0-pro,Memento,100,100,The class contains specific logic to save the state of an object before it is modified. The `createMemento` methods instantiate `ModelMemento` objects that capture the `oldValue` and provide logic to restore the object to that state. This is used to implement the Undo/Redo mechanism.,"```json
{
	""design_patterns"": [{
			""pattern"": ""Decorator"",
			""confidence"": 100,
			""adherence"": 100,
			""reason"": ""The class `UndoCoreHelperDecorator` extends `AbstractCoreHelperDecorator` and wraps a `CoreHelper` component (passed in the constructor). It overrides methods (like `setAbstract`, `setName`) to add specific functionality (creating mementos) before delegating the actual operation to the wrapped object via `getComponent().methodName()`. This is the textbook definition of the Decorator pattern.""
		},
		{
			""pattern"": ""Memento"",
			""confidence"": 100,
			""adherence"": 100,
			""reason"": ""The class contains specific logic to save the state of an object before it is modified. The `createMemento` methods instantiate `ModelMemento` objects that capture the `oldValue` and provide logic to restore the object to that state. This is used to implement the Undo/Redo mechanism.""
		},
		{
			""pattern"": ""Command"",
			""confidence"": 90,
			""adherence"": 90,
			""reason"": ""The `ModelMemento` anonymous inner classes implement `undo()` and `redo()` methods, encapsulating the request to modify the model as an object. Additionally, the internal interfaces `BooleanSetter`, `ObjectSetter`, and `StringSetter` are used to encapsulate the specific action of setting a property into an object, effectively parameterizing the method call to be executed later or within the memento.""
		},
		{
			""pattern"": ""Observer"",
			""confidence"": 95,
			""adherence"": 80,
			""reason"": ""The method call `Model.notifyMementoCreationObserver(memento)` indicates that the system is notifying registered listeners (subscribers) that a memento has been created. While the registration logic isn't shown here, this class acts as the Publisher/Subject trigger in the Observer pattern.""
		}
	]
}
```",30.06216
PMART-ArgoUML-UndoCoreHelperDecorator.java,decorator,gemini-3.0-pro,Command,90,90,"The `ModelMemento` anonymous inner classes implement `undo()` and `redo()` methods, encapsulating the request to modify the model as an object. Additionally, the internal interfaces `BooleanSetter`, `ObjectSetter`, and `StringSetter` are used to encapsulate the specific action of setting a property into an object, effectively parameterizing the method call to be executed later or within the memento.","```json
{
	""design_patterns"": [{
			""pattern"": ""Decorator"",
			""confidence"": 100,
			""adherence"": 100,
			""reason"": ""The class `UndoCoreHelperDecorator` extends `AbstractCoreHelperDecorator` and wraps a `CoreHelper` component (passed in the constructor). It overrides methods (like `setAbstract`, `setName`) to add specific functionality (creating mementos) before delegating the actual operation to the wrapped object via `getComponent().methodName()`. This is the textbook definition of the Decorator pattern.""
		},
		{
			""pattern"": ""Memento"",
			""confidence"": 100,
			""adherence"": 100,
			""reason"": ""The class contains specific logic to save the state of an object before it is modified. The `createMemento` methods instantiate `ModelMemento` objects that capture the `oldValue` and provide logic to restore the object to that state. This is used to implement the Undo/Redo mechanism.""
		},
		{
			""pattern"": ""Command"",
			""confidence"": 90,
			""adherence"": 90,
			""reason"": ""The `ModelMemento` anonymous inner classes implement `undo()` and `redo()` methods, encapsulating the request to modify the model as an object. Additionally, the internal interfaces `BooleanSetter`, `ObjectSetter`, and `StringSetter` are used to encapsulate the specific action of setting a property into an object, effectively parameterizing the method call to be executed later or within the memento.""
		},
		{
			""pattern"": ""Observer"",
			""confidence"": 95,
			""adherence"": 80,
			""reason"": ""The method call `Model.notifyMementoCreationObserver(memento)` indicates that the system is notifying registered listeners (subscribers) that a memento has been created. While the registration logic isn't shown here, this class acts as the Publisher/Subject trigger in the Observer pattern.""
		}
	]
}
```",30.06216
